BiosampleID,Study title,Description of study,Sample name,Study data link,Organism*,Intraspecific name,Time factor,Life stage,accession,Material source: DOI,Derived Material,Body part,Treatment
SAMEA104385300,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89583_a-0000001,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Alesi,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-001,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385297,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89584_a-0000002,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Remy,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-002,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385282,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89585_a-0000003,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Robust,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-003,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385264,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89586_a-0000004,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Alaska,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-004,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385263,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89587_a-0000005,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Pirola,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-005,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385246,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89588_a-0000006,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Milena,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-007,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385231,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89589_a-0000007,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Allure,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-008,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385616,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89583_a-0000001,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Agalon,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-009,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385601,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89584_a-0000002,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:K615,NULL,BBCH-13,Nottingham University:U.Nottm_UoY_Hybrid_2015001,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
SAMEA104385602,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,Leaf mineral concentration data of compost - grown Lines of the RIPR panel generated by ICP-MS analysis.,89585_a-0000003,https://bip.earlham.ac.uk/trial_scorings/47.zip,138011 (Brassica napus),cultivar:Picasso,NULL,BBCH-13,Nottingham University:U.Nottm_BnASSYST-011,NULL,NULL,http://www.ontobee.org/ontology/PO?iri=http://purl.obolibrary.org/obo/PO_0025034(leaf),NULL
