trait_descriptors.category,trait_descriptors.stage_scored,traits.description,traits.name,traits.data_provenance,trait_descriptors.scoring_method,trait_descriptors.unit_of_measurements,plant_parts.plant_part
Morphological,seedling stage,Length of the primary root,Primary root length,"Martin Broadley, Catherine Thomas","RootReader2D (RR2D, Clark et al., 2013) was used to analyse images. First, a ‘batch process’ was carried out which automatically ‘thresholds’, ‘skeletonises’ and ‘builds segments’ of all images in bulk. Then, the the root system of individual images was measured by placing a marker at the ase and tip of the primary root. From these markers, RR2D automatically calculates primary root length (PRL), lateral root length(LRL) of all laterals and lateral root number (LRN).",cm,primary root
Morphological,seedling stage,Length of the lateral root,Lateral root length,"Martin Broadley, Catherine Thomas","RootReader2D (RR2D, Clark et al., 2013) was used to analyse images. First, a ‘batch process’ was carried out which automatically ‘thresholds’, ‘skeletonises’ and ‘builds segments’ of all images in bulk. Then, the the root system of individual images was measured by placing a marker at the ase and tip of the primary root. From these markers, RR2D automatically calculates primary root length (PRL), lateral root length(LRL) of all laterals and lateral root number (LRN).",cm,lateral root
Morphological,seedling stage,Number of lateral roots,Lateral root number,"Martin Broadley, Catherine Thomas","RootReader2D (RR2D, Clark et al., 2013) was used to analyse images. First, a ‘batch process’ was carried out which automatically ‘thresholds’, ‘skeletonises’ and ‘builds segments’ of all images in bulk. Then, the the root system of individual images was measured by placing a marker at the ase and tip of the primary root. From these markers, RR2D automatically calculates primary root length (PRL), lateral root length(LRL) of all laterals and lateral root number (LRN).",root,lateral root
Morphological,seedling stage,Length of all roots ,Total root length,"Martin Broadley, Catherine Thomas",The sum of primary root length (PRL) and lateral root length (LRL) was used to obtain total root length (TRL). Root lengths were previously derived from image analysis based - measurements from RR2D. (MO_001),cm,root
Morphological,seedling stage,The mean length of a lateral root of that root system,Mean lateral root length,"Martin Broadley, Catherine Thomas",The average of length of lateral roots was derived from dividing lateral root length (LRL) by lateral root number (LRN). Lateral root lengths and numbers were previously derived from image analysis based - measurements from RR2D. (MO_001),cm,lateral root
Morphological,seedling stage,The mean density of lateral roots along the primary root,Lateral root density,"Martin Broadley, Catherine Thomas",Density of lateral roots (LRD) occuring along the primary root were calculated by dividing lateral root number (LRN) by primary root length (PRL). Lateral root number (LRN) and primary root length (PRL) were previously derived from image analysis based - measurements from RR2D. (MO_001),root/cm,lateral root
Morphological,seed,The diameter of a seed,Seed diameter,"Martin Broadley, Catherine Thomas","Seeds were sieved using mesh with a diameter (Ø) of 1.4, 1.7, 2.0 and 2.36 mm. Seeds retained were recorded in the corresponding diameter category and treated as if this was their true diameter.",mm,seed
Biochemical,seed,The concentration of Arsenic in seeds,Seed Arsenic concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Boron in seeds,Seed Boron concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Calcium in seeds,Seed Calcium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Cadmium in seeds,Seed Cadmium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Cobalt in seeds,Seed Cobalt concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Chromium in seeds,Seed Chromium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Copper in seeds,Seed Copper concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Iron in seeds,Seed Iron concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Potassium in seeds,Seed Potassium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Lithium in seeds,Seed Lithium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Magnesium in seeds,Seed Magnesium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Manganese in seeds,Seed Manganese concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Molybdenum in seeds,Seed Molybdenum concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Sodium in seeds,Seed Sodium concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
Biochemical,seed,The concentration of Nickel in seeds,Seed Nickel concentration,"Thomas Alcock, David Salt",3 seeds per tube and occasionally 4 for very small seeds from multiple replicate plants per accession were left to soak in nitric acid over night and then digested in block heaters prior to analysis by inductively coupled plasma-mass spectrometry (ICP-MS). This data was then weight normalised so that data from each element was in the units mg/kg,mg/kg,seed
