"ID","trait 1","trait 2","trait 3","trait 4","trait 5","trait 6","trait 7","trait 8","trait 9","trait 10"
"plant-1","0","1","2","3","4","5","6","7","8","9"
"plant-2","0","1","2","3","4","5","6","7","8","9"
"plant-3","0","1","2","3","4","5","6","7","8","9"
"plant-4","0","1","2","3","4","5","6","7","8","9"
"plant-5","0","1","2","3","4","5","6","7","8","9"
"plant-6","0","1","2","3","4","5","6","7","8","9"
"plant-7","0","1","2","3","4","5","6","7","8","9"
"plant-8","0","1","2","3","4","5","6","7","8","9"
"plant-9","0","1","2","3","4","5","6","7","8","9"
"plant-10","0","1","2","3","4","5","6","7","8","9"
"plant-11","0","1","2","3","4","5","6","7","8","9"
"plant-12","0","1","2","3","4","5","6","7","8","9"
"plant-13","0","1","2","3","4","5","6","7","8","9"
"plant-14","0","1","2","3","4","5","6","7","8","9"
"plant-15","0","1","2","3","4","5","6","7","8","9"
"plant-16","0","1","2","3","4","5","6","7","8","9"
"plant-17","0","1","2","3","4","5","6","7","8","9"
"plant-18","0","1","2","3","4","5","6","7","8","9"
"plant-19","0","1","2","3","4","5","6","7","8","9"
"plant-20","0","1","2","3","4","5","6","7","8","9"
"plant-21","0","1","2","3","4","5","6","7","8","9"
"plant-22","0","1","2","3","4","5","6","7","8","9"
"plant-23","0","1","2","3","4","5","6","7","8","9"
"plant-24","0","1","2","3","4","5","6","7","8","9"
"plant-25","0","1","2","3","4","5","6","7","8","9"
"plant-26","0","1","2","3","4","5","6","7","8","9"
"plant-27","0","1","2","3","4","5","6","7","8","9"
"plant-28","0","1","2","3","4","5","6","7","8","9"
"plant-29","0","1","2","3","4","5","6","7","8","9"
"plant-30","0","1","2","3","4","5","6","7","8","9"
"plant-31","0","1","2","3","4","5","6","7","8","9"
"plant-32","0","1","2","3","4","5","6","7","8","9"
"plant-33","0","1","2","3","4","5","6","7","8","9"
"plant-34","0","1","2","3","4","5","6","7","8","9"
"plant-35","0","1","2","3","4","5","6","7","8","9"
"plant-36","0","1","2","3","4","5","6","7","8","9"
"plant-37","0","1","2","3","4","5","6","7","8","9"
"plant-38","0","1","2","3","4","5","6","7","8","9"
"plant-39","0","1","2","3","4","5","6","7","8","9"
"plant-40","0","1","2","3","4","5","6","7","8","9"
"plant-41","0","1","2","3","4","5","6","7","8","9"
"plant-42","0","1","2","3","4","5","6","7","8","9"
"plant-43","0","1","2","3","4","5","6","7","8","9"
"plant-44","0","1","2","3","4","5","6","7","8","9"
"plant-45","0","1","2","3","4","5","6","7","8","9"
"plant-46","0","1","2","3","4","5","6","7","8","9"
"plant-47","0","1","2","3","4","5","6","7","8","9"
"plant-48","0","1","2","3","4","5","6","7","8","9"
"plant-49","0","1","2","3","4","5","6","7","8","9"
"plant-50","0","1","2","3","4","5","6","7","8","9"
"plant-51","0","1","2","3","4","5","6","7","8","9"
"plant-52","0","1","2","3","4","5","6","7","8","9"
"plant-53","0","1","2","3","4","5","6","7","8","9"
"plant-54","0","1","2","3","4","5","6","7","8","9"
"plant-55","0","1","2","3","4","5","6","7","8","9"
"plant-56","0","1","2","3","4","5","6","7","8","9"
"plant-57","0","1","2","3","4","5","6","7","8","9"
"plant-58","0","1","2","3","4","5","6","7","8","9"
"plant-59","0","1","2","3","4","5","6","7","8","9"
"plant-60","0","1","2","3","4","5","6","7","8","9"
"plant-61","0","1","2","3","4","5","6","7","8","9"
"plant-62","0","1","2","3","4","5","6","7","8","9"
"plant-63","0","1","2","3","4","5","6","7","8","9"
"plant-64","0","1","2","3","4","5","6","7","8","9"
"plant-65","0","1","2","3","4","5","6","7","8","9"
"plant-66","0","1","2","3","4","5","6","7","8","9"
"plant-67","0","1","2","3","4","5","6","7","8","9"
"plant-68","0","1","2","3","4","5","6","7","8","9"
"plant-69","0","1","2","3","4","5","6","7","8","9"
"plant-70","0","1","2","3","4","5","6","7","8","9"
"plant-71","0","1","2","3","4","5","6","7","8","9"
"plant-72","0","1","2","3","4","5","6","7","8","9"
"plant-73","0","1","2","3","4","5","6","7","8","9"
"plant-74","0","1","2","3","4","5","6","7","8","9"
"plant-75","0","1","2","3","4","5","6","7","8","9"
"plant-76","0","1","2","3","4","5","6","7","8","9"
"plant-77","0","1","2","3","4","5","6","7","8","9"
"plant-78","0","1","2","3","4","5","6","7","8","9"
"plant-79","0","1","2","3","4","5","6","7","8","9"
"plant-80","0","1","2","3","4","5","6","7","8","9"
"plant-81","0","1","2","3","4","5","6","7","8","9"
"plant-82","0","1","2","3","4","5","6","7","8","9"
"plant-83","0","1","2","3","4","5","6","7","8","9"
"plant-84","0","1","2","3","4","5","6","7","8","9"
"plant-85","0","1","2","3","4","5","6","7","8","9"
"plant-86","0","1","2","3","4","5","6","7","8","9"
"plant-87","0","1","2","3","4","5","6","7","8","9"
"plant-88","0","1","2","3","4","5","6","7","8","9"
"plant-89","0","1","2","3","4","5","6","7","8","9"
"plant-90","0","1","2","3","4","5","6","7","8","9"
"plant-91","0","1","2","3","4","5","6","7","8","9"
"plant-92","0","1","2","3","4","5","6","7","8","9"
"plant-93","0","1","2","3","4","5","6","7","8","9"
"plant-94","0","1","2","3","4","5","6","7","8","9"
"plant-95","0","1","2","3","4","5","6","7","8","9"
"plant-96","0","1","2","3","4","5","6","7","8","9"
"plant-97","0","1","2","3","4","5","6","7","8","9"
"plant-98","0","1","2","3","4","5","6","7","8","9"
"plant-99","0","1","2","3","4","5","6","7","8","9"
"plant-100","0","1","2","3","4","5","6","7","8","9"
